GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Presentacion,Presentacion,IU_Camarero.BtnPagarCuentaActionListener,16,0,0,0,3,0,2,0,2,0
Presentacion,Presentacion,IU_SecuenciarEstados.BtnSecuenciarEstadoActionListener,80,6,6,0,12,1,4,1,1,1
Presentacion,Presentacion,IU_MostrarCuenta.new Runnable() {...},17,0,0,0,7,0,2,0,2,0
Presentacion,Presentacion,IU_Almacen,25,216,1,3,2,44,1,2,0,1
Presentacion,Presentacion,IU_ConsultarEstadisticas.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
Presentacion,Presentacion,IU_HacerPrevision.new ActionListener() {...},4,6,0,0,2,1,1,1,1,1
Presentacion,Presentacion,IU_HacerPrevision.new ActionListener() {...},55,12,2,0,11,1,2,1,1,1
Presentacion,Presentacion,IU_HacerPrevision.new MouseAdapter() {...},53,9,2,0,9,1,2,1,1,1
Presentacion,Presentacion,IU_HacerPrevision.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
Presentacion,Presentacion,IU_Cocinero,5,126,0,0,2,23,1,1,1,1
Presentacion,Presentacion,IU_HacerPrevision,5,364,0,4,2,73,1,3,1,1
Presentacion,Presentacion,IU_MostrarCuenta,16,534,1,1,4,86,2,2,1,2
Presentacion,Presentacion,IU_Camarero.CBoxCamarerosActionListener,109,0,6,0,20,0,5,0,2,0
Presentacion,Presentacion,IU_Camarero,291,0,2,0,50,0,4,0,3,0
Presentacion,Presentacion,IU_Camarero.BtnCambiarEstadoMesaActionListener,16,0,0,0,3,0,2,0,2,0
Presentacion,Presentacion,IU_ReservarMesa.new ActionListener() {...},55,6,4,0,10,1,3,1,1,1
Presentacion,Presentacion,IU_Cocinero.new ActionListener() {...},15,6,0,0,5,1,1,1,1,1
Presentacion,Presentacion,IU_Cocinero.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
Presentacion,Presentacion,IU_ConsultarEstadisticas.RdBtnRestauranteActionListener,42,6,2,0,10,1,2,1,1,1
Presentacion,Presentacion,IU_AnotarComanda.LstPostreMouseListener,13,6,0,0,3,1,1,1,1,1
Presentacion,Presentacion,IU_SecuenciarEstados,16,282,1,1,4,48,2,2,1,2
Presentacion,Presentacion,IU_ComprobarReserva.new ActionListener() {...},27,6,2,0,6,1,2,1,1,1
Presentacion,Presentacion,IU_ComprobarReserva.new ActionListener() {...},60,9,0,0,12,1,1,1,1,1
Presentacion,Presentacion,IU_CancelarReserva.new ActionListener() {...},33,6,0,0,7,1,1,1,1,1
Presentacion,Presentacion,IU_CancelarReserva.new ActionListener() {...},72,6,2,0,12,1,2,1,1,1
Presentacion,Presentacion,IU_Principal.new ActionListener() {...},47,6,8,0,11,1,5,1,1,1
Presentacion,Presentacion,IU_Principal.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
Presentacion,Presentacion,IU_Principal.new TimerTask() {...},0,8,0,0,0,3,0,2,0,2
Presentacion,Presentacion,IU_SecuenciarEstados.new Runnable() {...},17,0,0,0,7,0,2,0,2,0
Presentacion,Presentacion,IU_AnotarComanda,32,581,3,9,8,103,4,5,1,2
Presentacion,Presentacion,IU_AnotarComanda.LstBebidasMouseListener,13,6,0,0,3,1,1,1,1,1
Presentacion,Presentacion,IU_AnotarComanda.LstSegundoPlatoMouseListener,13,6,0,0,3,1,1,1,1,1
Presentacion,Presentacion,IU_AnotarComanda.BtnConfirmarComandaActionListener,118,6,12,0,23,1,7,1,1,1
Presentacion,Presentacion,IU_AvisarCamarero.CBoxCamarerosActionListener,60,0,4,0,12,0,4,0,2,0
Presentacion,Presentacion,IU_Camarero.BtnAnotarComandaActionListener,16,0,0,0,3,0,2,0,2,0
Presentacion,Presentacion,IU_AnotarComanda.LstPrimerPlatoMouseListener,13,6,0,0,3,1,1,1,1,1
Presentacion,Presentacion,IU_Principal,5,254,0,0,2,46,1,2,1,2
Presentacion,Presentacion,IU_SecuenciarEstados.CBoxMesasActionListener,12,15,1,1,2,3,1,2,0,2
Presentacion,Presentacion,IU_AvisarCamarero.BtnConfirmarActionListener,48,0,2,0,9,0,3,0,2,0
Presentacion,Presentacion,Fuente,0,29,0,0,0,4,0,1,0,1
Presentacion,Presentacion,IU_CancelarReserva,8,376,1,1,1,68,1,2,0,2
Presentacion,Presentacion,IU_AnotarComanda.new Runnable() {...},17,0,0,0,7,0,2,0,2,0
Presentacion,Presentacion,IU_Camarero.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
